,type,studygroup,avg_accuracy,std_accuracy,avg_adaptation
103,INTP,"['ESFJ', 'ESFJ', 'ESTJ', 'INTP']",0.81625,0.12431688340688084,0.225
104,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INTJ']",0.83,0.1305277748220661,0.185
105,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INTJ']",0.81875,0.1584840291638246,0.185
106,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INTJ']",0.82125,0.12778766568022124,0.19125
107,INTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INTJ']",0.86875,0.11232625472257143,0.1625
108,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESFP']",0.8225,0.14703315952532614,0.195
109,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESFP']",0.81,0.15956973397232946,0.19375
110,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESFP']",0.83125,0.1291498644985739,0.1925
111,ESFP,"['ESFJ', 'ESFJ', 'ESTJ', 'ESFP']",0.7375,0.14306903927824496,0.27
112,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTP']",0.83,0.1340708767779192,0.205
113,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTP']",0.80875,0.1430198849810753,0.2
114,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTP']",0.81875,0.1574950396044269,0.20375
115,ESTP,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTP']",0.765,0.14819750335278933,0.2375
116,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFP']",0.83375,0.12126288591320925,0.1725
117,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFP']",0.835,0.11973930014828048,0.18375
118,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFP']",0.815,0.12180927715079831,0.19625
119,ISFP,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFP']",0.775,0.15612494995995993,0.23875
120,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTP']",0.81,0.14413535305399575,0.1925
121,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTP']",0.84125,0.12100490692529789,0.18625
122,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTP']",0.78375,0.14454130032623894,0.22125
123,ISTP,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTP']",0.72125,0.14774873095901703,0.31875
124,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISFJ']",0.80125,0.13121428085387657,0.2025
125,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISFJ']",0.8375,0.13169567191065923,0.16125
126,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISFJ']",0.7975,0.14660746911395747,0.22625
127,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISFJ']",0.80875,0.1504732119016538,0.21375
128,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISTJ']",0.8275,0.12597122687344123,0.20125
129,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISTJ']",0.8175,0.15043686383330385,0.17
130,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISTJ']",0.81125,0.14842401254514043,0.2075
131,ISTJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISTJ']",0.82375,0.12636133704579103,0.19
132,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENFP']",0.82,0.14287232062229546,0.18
133,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENFP']",0.80625,0.1429324578253659,0.21125
134,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENFP']",0.8125,0.1505199322349037,0.21125
135,ENFP,"['ESFJ', 'ESFJ', 'ISFJ', 'ENFP']",0.815,0.14304719500919968,0.19875
136,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENFJ']",0.81375,0.1363531719469701,0.17875
137,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENFJ']",0.805,0.13955285736952863,0.19125
138,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENFJ']",0.8275,0.1400669482783144,0.2075
139,ENFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENFJ']",0.8975,0.0990265116016918,0.12875
140,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INFP']",0.815,0.14735162028291376,0.18125
141,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INFP']",0.8175,0.16433578429544796,0.19
142,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INFP']",0.83,0.1340708767779192,0.1975
143,INFP,"['ESFJ', 'ESFJ', 'ISFJ', 'INFP']",0.83375,0.12506873110414132,0.17625
144,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INFJ']",0.81625,0.13858097813192113,0.17125
145,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INFJ']",0.825,0.1334634781503914,0.18125
146,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INFJ']",0.81375,0.13520239457938607,0.20875
147,INFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INFJ']",0.90125,0.10502231905647487,0.13375
