,type,studygroup,avg_accuracy,std_accuracy,avg_adaptation
3588,ESTJ,"['ESTJ', 'ESTJ', 'INFJ', 'ESTP']",0.817,0.1446279710152915,0.197625
3589,ESTJ,"['ESTJ', 'ESTJ', 'INFJ', 'ESTP']",0.818125,0.14186123281220983,0.188875
3590,INFJ,"['ESTJ', 'ESTJ', 'INFJ', 'ESTP']",0.884875,0.11213545101795416,0.16325
3591,ESTP,"['ESTJ', 'ESTJ', 'INFJ', 'ESTP']",0.75825,0.16161509057015683,0.233
3592,ESTJ,"['ESTJ', 'ESTJ', 'INFJ', 'ISFP']",0.82175,0.14309765022529194,0.178
3593,ESTJ,"['ESTJ', 'ESTJ', 'INFJ', 'ISFP']",0.82325,0.13408276362008653,0.17675
3594,INFJ,"['ESTJ', 'ESTJ', 'INFJ', 'ISFP']",0.881875,0.11779053177144587,0.161125
3595,ISFP,"['ESTJ', 'ESTJ', 'INFJ', 'ISFP']",0.749875,0.153042018331568,0.255625
3596,ESTJ,"['ESTJ', 'ESTJ', 'INFJ', 'ISTP']",0.81925,0.1393670961884476,0.177125
3597,ESTJ,"['ESTJ', 'ESTJ', 'INFJ', 'ISTP']",0.816625,0.14180262471125138,0.1805
3598,INFJ,"['ESTJ', 'ESTJ', 'INFJ', 'ISTP']",0.89125,0.11285361093026665,0.154625
3599,ISTP,"['ESTJ', 'ESTJ', 'INFJ', 'ISTP']",0.760875,0.15203982825233656,0.247625
3600,ESTJ,"['ESTJ', 'ESTJ', 'ENTP', 'ENTP']",0.818625,0.13827051158869702,0.1895
3601,ESTJ,"['ESTJ', 'ESTJ', 'ENTP', 'ENTP']",0.825125,0.14085669801255457,0.193
3602,ENTP,"['ESTJ', 'ESTJ', 'ENTP', 'ENTP']",0.821625,0.13605324095735463,0.19125
3603,ENTP,"['ESTJ', 'ESTJ', 'ENTP', 'ENTP']",0.817875,0.14513738103948273,0.192875
3604,ESTJ,"['ESTJ', 'ESTJ', 'ENTP', 'ENTJ']",0.814625,0.14140539019075618,0.19075
3605,ESTJ,"['ESTJ', 'ESTJ', 'ENTP', 'ENTJ']",0.825125,0.13461745568461767,0.1885
3606,ENTP,"['ESTJ', 'ESTJ', 'ENTP', 'ENTJ']",0.81475,0.1408498757542938,0.19225
3607,ENTJ,"['ESTJ', 'ESTJ', 'ENTP', 'ENTJ']",0.884375,0.11946331811480879,0.135375
3608,ESTJ,"['ESTJ', 'ESTJ', 'ENTP', 'INTP']",0.82625,0.1376079121998441,0.19025
3609,ESTJ,"['ESTJ', 'ESTJ', 'ENTP', 'INTP']",0.820125,0.13324548538318287,0.187375
3610,ENTP,"['ESTJ', 'ESTJ', 'ENTP', 'INTP']",0.816875,0.14179513170415972,0.18475
3611,INTP,"['ESTJ', 'ESTJ', 'ENTP', 'INTP']",0.8185,0.13530613437682712,0.209875
3612,ESTJ,"['ESTJ', 'ESTJ', 'ENTP', 'INTJ']",0.81075,0.14587044765818744,0.191
3613,ESTJ,"['ESTJ', 'ESTJ', 'ENTP', 'INTJ']",0.81675,0.1396896112815839,0.18775
3614,ENTP,"['ESTJ', 'ESTJ', 'ENTP', 'INTJ']",0.81525,0.1436965117878649,0.19025
3615,INTJ,"['ESTJ', 'ESTJ', 'ENTP', 'INTJ']",0.885875,0.11695558719018088,0.153625
3616,ESTJ,"['ESTJ', 'ESTJ', 'ENTP', 'ESFP']",0.820875,0.1390543396482109,0.19625
3617,ESTJ,"['ESTJ', 'ESTJ', 'ENTP', 'ESFP']",0.82175,0.14133979446709266,0.190125
3618,ENTP,"['ESTJ', 'ESTJ', 'ENTP', 'ESFP']",0.825125,0.1357731909288428,0.188875
3619,ESFP,"['ESTJ', 'ESTJ', 'ENTP', 'ESFP']",0.76975,0.1602262072820798,0.240375
3620,ESTJ,"['ESTJ', 'ESTJ', 'ENTP', 'ESTP']",0.817875,0.14448999749117583,0.19625
3621,ESTJ,"['ESTJ', 'ESTJ', 'ENTP', 'ESTP']",0.8215,0.1354861616549823,0.195375
3622,ENTP,"['ESTJ', 'ESTJ', 'ENTP', 'ESTP']",0.81925,0.14170193188520758,0.198125
3623,ESTP,"['ESTJ', 'ESTJ', 'ENTP', 'ESTP']",0.760125,0.15654666836122705,0.24425
3624,ESTJ,"['ESTJ', 'ESTJ', 'ENTP', 'ISFP']",0.814875,0.14095871514383207,0.19925
3625,ESTJ,"['ESTJ', 'ESTJ', 'ENTP', 'ISFP']",0.818625,0.1408456047415041,0.19275
3626,ENTP,"['ESTJ', 'ESTJ', 'ENTP', 'ISFP']",0.815,0.14478432235570257,0.192625
3627,ISFP,"['ESTJ', 'ESTJ', 'ENTP', 'ISFP']",0.758625,0.1536147270771914,0.27175
3628,ESTJ,"['ESTJ', 'ESTJ', 'ENTP', 'ISTP']",0.818,0.1431817027416562,0.1915
