,type,studygroup,avg_accuracy,std_accuracy,avg_adaptation
1930,INFP,"['ESFJ', 'ENFP', 'INFP', 'ESTP']",0.83875,0.1278365655827784,0.195
1931,ESTP,"['ESFJ', 'ENFP', 'INFP', 'ESTP']",0.7525,0.16103182915187916,0.235
1932,ESFJ,"['ESFJ', 'ENFP', 'INFP', 'ISFP']",0.845,0.13592277219068188,0.16
1933,ENFP,"['ESFJ', 'ENFP', 'INFP', 'ISFP']",0.8525,0.11776565713313876,0.17375
1934,INFP,"['ESFJ', 'ENFP', 'INFP', 'ISFP']",0.85625,0.10807260291119113,0.16875
1935,ISFP,"['ESFJ', 'ENFP', 'INFP', 'ISFP']",0.7475,0.1648673709379755,0.24875
1936,ESFJ,"['ESFJ', 'ENFP', 'INFP', 'ISTP']",0.82625,0.13794813336903114,0.18875
1937,ENFP,"['ESFJ', 'ENFP', 'INFP', 'ISTP']",0.825,0.1286953767623375,0.1925
1938,INFP,"['ESFJ', 'ENFP', 'INFP', 'ISTP']",0.8,0.1436140661634507,0.2075
1939,ISTP,"['ESFJ', 'ENFP', 'INFP', 'ISTP']",0.76,0.15878444508200415,0.25125
1940,ESFJ,"['ESFJ', 'ENFP', 'INFJ', 'INFJ']",0.81625,0.13970392800490614,0.1825
1941,ENFP,"['ESFJ', 'ENFP', 'INFJ', 'INFJ']",0.84125,0.1332936138755342,0.16625
1942,INFJ,"['ESFJ', 'ENFP', 'INFJ', 'INFJ']",0.88375,0.11626344008328672,0.13125
1943,INFJ,"['ESFJ', 'ENFP', 'INFJ', 'INFJ']",0.88875,0.11442109726794268,0.1225
1944,ESFJ,"['ESFJ', 'ENFP', 'INFJ', 'ENTP']",0.82125,0.12655902773014652,0.1875
1945,ENFP,"['ESFJ', 'ENFP', 'INFJ', 'ENTP']",0.80625,0.13506364240608945,0.19375
1946,INFJ,"['ESFJ', 'ENFP', 'INFJ', 'ENTP']",0.86625,0.13258841389804768,0.16875
1947,ENTP,"['ESFJ', 'ENFP', 'INFJ', 'ENTP']",0.80625,0.1315472823740574,0.1925
1948,ESFJ,"['ESFJ', 'ENFP', 'INFJ', 'ENTJ']",0.82875,0.1294881751358015,0.16625
1949,ENFP,"['ESFJ', 'ENFP', 'INFJ', 'ENTJ']",0.81625,0.13282389656985674,0.19
1950,INFJ,"['ESFJ', 'ENFP', 'INFJ', 'ENTJ']",0.87375,0.12310437644535632,0.1475
1951,ENTJ,"['ESFJ', 'ENFP', 'INFJ', 'ENTJ']",0.885,0.11412712210513326,0.12125
1952,ESFJ,"['ESFJ', 'ENFP', 'INFJ', 'INTP']",0.83375,0.12876213535042047,0.16875
1953,ENFP,"['ESFJ', 'ENFP', 'INFJ', 'INTP']",0.84375,0.12295197233066252,0.15375
1954,INFJ,"['ESFJ', 'ENFP', 'INFJ', 'INTP']",0.90375,0.10876436686709486,0.13375
1955,INTP,"['ESFJ', 'ENFP', 'INFJ', 'INTP']",0.81625,0.1595452522013739,0.19375
1956,ESFJ,"['ESFJ', 'ENFP', 'INFJ', 'INTJ']",0.8325,0.12651580928879996,0.14875
1957,ENFP,"['ESFJ', 'ENFP', 'INFJ', 'INTJ']",0.82375,0.13357465141260896,0.16875
1958,INFJ,"['ESFJ', 'ENFP', 'INFJ', 'INTJ']",0.8625,0.12930100540985748,0.1675
1959,INTJ,"['ESFJ', 'ENFP', 'INFJ', 'INTJ']",0.88125,0.1254678743742796,0.15875
1960,ESFJ,"['ESFJ', 'ENFP', 'INFJ', 'ESFP']",0.81625,0.11786512418862503,0.165
1961,ENFP,"['ESFJ', 'ENFP', 'INFJ', 'ESFP']",0.815,0.1419506956657839,0.2025
1962,INFJ,"['ESFJ', 'ENFP', 'INFJ', 'ESFP']",0.87375,0.11923584821688483,0.175
1963,ESFP,"['ESFJ', 'ENFP', 'INFJ', 'ESFP']",0.75375,0.16436905882799233,0.24625
1964,ESFJ,"['ESFJ', 'ENFP', 'INFJ', 'ESTP']",0.825,0.14469796128487783,0.17625
1965,ENFP,"['ESFJ', 'ENFP', 'INFJ', 'ESTP']",0.81125,0.1505147418029211,0.2
1966,INFJ,"['ESFJ', 'ENFP', 'INFJ', 'ESTP']",0.885,0.10706306552681927,0.14625
1967,ESTP,"['ESFJ', 'ENFP', 'INFJ', 'ESTP']",0.77375,0.14757942776688085,0.23
1968,ESFJ,"['ESFJ', 'ENFP', 'INFJ', 'ISFP']",0.83625,0.15072221966253022,0.17125
1969,ENFP,"['ESFJ', 'ENFP', 'INFJ', 'ISFP']",0.815,0.13285330255586422,0.18625
1970,INFJ,"['ESFJ', 'ENFP', 'INFJ', 'ISFP']",0.89875,0.10108010437272014,0.12625
1971,ISFP,"['ESFJ', 'ENFP', 'INFJ', 'ISFP']",0.7725,0.13622132725825276,0.23625
1972,ESFJ,"['ESFJ', 'ENFP', 'INFJ', 'ISTP']",0.81125,0.14196720572019442,0.1975
1973,ENFP,"['ESFJ', 'ENFP', 'INFJ', 'ISTP']",0.805,0.14823967080373596,0.17125
1974,INFJ,"['ESFJ', 'ENFP', 'INFJ', 'ISTP']",0.8725,0.11723374087693356,0.1775
1975,ISTP,"['ESFJ', 'ENFP', 'INFJ', 'ISTP']",0.7325,0.1714095971642195,0.2875
1976,ESFJ,"['ESFJ', 'ENFP', 'ENTP', 'ENTP']",0.83125,0.1315472823740574,0.1925
1977,ENFP,"['ESFJ', 'ENFP', 'ENTP', 'ENTP']",0.8075,0.1316007218825186,0.21125
1978,ENTP,"['ESFJ', 'ENFP', 'ENTP', 'ENTP']",0.79625,0.1485923534371806,0.2025
1979,ENTP,"['ESFJ', 'ENFP', 'ENTP', 'ENTP']",0.84,0.12757350822173075,0.17125
1980,ESFJ,"['ESFJ', 'ENFP', 'ENTP', 'ENTJ']",0.81125,0.14630340905119063,0.18875
1981,ENFP,"['ESFJ', 'ENFP', 'ENTP', 'ENTJ']",0.79875,0.15701811201259552,0.21375
1982,ENTP,"['ESFJ', 'ENFP', 'ENTP', 'ENTJ']",0.815,0.13973188612482118,0.19625
1983,ENTJ,"['ESFJ', 'ENFP', 'ENTP', 'ENTJ']",0.9075,0.10249999999999998,0.10875
1984,ESFJ,"['ESFJ', 'ENFP', 'ENTP', 'INTP']",0.82375,0.13817448208696134,0.17875
1985,ENFP,"['ESFJ', 'ENFP', 'ENTP', 'INTP']",0.81375,0.1280807850538089,0.195
1986,ENTP,"['ESFJ', 'ENFP', 'ENTP', 'INTP']",0.8425,0.1318379687343521,0.17375
1987,INTP,"['ESFJ', 'ENFP', 'ENTP', 'INTP']",0.81875,0.13506364240608945,0.195
1988,ESFJ,"['ESFJ', 'ENFP', 'ENTP', 'INTJ']",0.80875,0.13515615968205077,0.18625
1989,ENFP,"['ESFJ', 'ENFP', 'ENTP', 'INTJ']",0.82375,0.13357465141260896,0.19
1990,ENTP,"['ESFJ', 'ENFP', 'ENTP', 'INTJ']",0.83,0.12932517156377563,0.1825
1991,INTJ,"['ESFJ', 'ENFP', 'ENTP', 'INTJ']",0.87375,0.1256172261276295,0.15375
1992,ESFJ,"['ESFJ', 'ENFP', 'ENTP', 'ESFP']",0.8,0.14469796128487783,0.20125
1993,ENFP,"['ESFJ', 'ENFP', 'ENTP', 'ESFP']",0.8375,0.1340475661845451,0.18625
1994,ENTP,"['ESFJ', 'ENFP', 'ENTP', 'ESFP']",0.82375,0.1275918786600464,0.195
1995,ESFP,"['ESFJ', 'ENFP', 'ENTP', 'ESFP']",0.72,0.1415538766689207,0.28
1996,ESFJ,"['ESFJ', 'ENFP', 'ENTP', 'ESTP']",0.7925,0.1470756608008273,0.24
1997,ENFP,"['ESFJ', 'ENFP', 'ENTP', 'ESTP']",0.81125,0.14736752525573604,0.20625
1998,ENTP,"['ESFJ', 'ENFP', 'ENTP', 'ESTP']",0.81125,0.14947303268482914,0.195
1999,ESTP,"['ESFJ', 'ENFP', 'ENTP', 'ESTP']",0.7575,0.15392774278862145,0.25
2000,ESFJ,"['ESFJ', 'ENFP', 'ENTP', 'ISFP']",0.805,0.14823967080373596,0.2225
2001,ENFP,"['ESFJ', 'ENFP', 'ENTP', 'ISFP']",0.80625,0.13961442439805424,0.1975
2002,ENTP,"['ESFJ', 'ENFP', 'ENTP', 'ISFP']",0.83,0.14417870855296216,0.18625
